排名,片名,简介,评分,电影链接
58,海豚湾,海豚的微笑，是世界上最高明的伪装。,9.3,https://movie.douban.com/subject/3442220/
59,情书,暗恋的极致。,8.9,https://movie.douban.com/subject/1292220/
60,何以为家,凝视卑弱生命，用电影改变命运。,9.1,https://movie.douban.com/subject/30170448/
61,钢琴家,音乐能化解仇恨。,9.1,https://movie.douban.com/subject/1296736/
62,大闹天宫,经典之作，历久弥新。,9.3,https://movie.douban.com/subject/1418019/
63,本杰明·巴顿奇事,在时间之河里感受溺水之苦。,8.9,https://movie.douban.com/subject/1485260/
64,哈利·波特与魔法石,童话世界的开端。,8.9,https://movie.douban.com/subject/1295038/
65,看不见的客人,你以为你以为的就是你以为的。,8.8,https://movie.douban.com/subject/26580232/
66,黑客帝国,视觉革命。,8.9,https://movie.douban.com/subject/1291843/
67,西西里的美丽传说,美丽无罪。,8.8,https://movie.douban.com/subject/1292402/
68,小鞋子,奔跑的孩子是天使。,9.2,https://movie.douban.com/subject/1303021/
69,美国往事,往事如烟，无处祭奠。,9.2,https://movie.douban.com/subject/1292262/
70,拯救大兵瑞恩,美利坚精神输出大片No1.,9.0,https://movie.douban.com/subject/1292849/
71,让子弹飞,你给我翻译翻译，神马叫做TMD的惊喜。,8.8,https://movie.douban.com/subject/3742360/
72,音乐之声,用音乐化解仇恨，让歌声串起美好。,9.0,https://movie.douban.com/subject/1294408/
73,致命魔术,孪生蝙蝠侠大战克隆金刚狼。,8.8,https://movie.douban.com/subject/1780330/
74,猫鼠游戏,骗子大师和执著警探的你追我跑故事。 ,8.9,https://movie.douban.com/subject/1305487/
75,七宗罪,警察抓小偷，老鼠玩死猫。,8.8,https://movie.douban.com/subject/1292223/
76,被嫌弃的松子的一生,以戏谑来戏谑戏谑。,8.9,https://movie.douban.com/subject/1787291/
77,低俗小说,故事的高级讲法。,8.8,https://movie.douban.com/subject/1291832/
78,沉默的羔羊,安东尼·霍普金斯的顶级表演。,8.8,https://movie.douban.com/subject/1293544/
79,蝴蝶效应,人的命运被自己瞬间的抉择改变。,8.8,https://movie.douban.com/subject/1292343/
80,春光乍泄,爱情纠缠，男女一致。,8.9,https://movie.douban.com/subject/1292679/
81,勇敢的心,史诗大片的典范。,8.9,https://movie.douban.com/subject/1294639/
82,天使爱美丽,法式小清新。 ,8.7,https://movie.douban.com/subject/1292215/
83,穿条纹睡衣的男孩,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,9.0,https://movie.douban.com/subject/3008247/
84,剪刀手爱德华,浪漫忧郁的成人童话。,8.7,https://movie.douban.com/subject/1292370/
85,心灵捕手,人生中应该拥有这样的一段豁然开朗。,8.8,https://movie.douban.com/subject/1292656/
86,禁闭岛,昔日翩翩少年，今日大腹便便。,8.8,https://movie.douban.com/subject/2334904/
87,布达佩斯大饭店,小清新的故事里注入了大历史的情怀。,8.8,https://movie.douban.com/subject/11525673/
88,阿凡达,绝对意义上的美轮美奂。,8.7,https://movie.douban.com/subject/1652587/
89,入殓师,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,8.8,https://movie.douban.com/subject/2149806/
90,幽灵公主,人与自然的战争史诗。,8.9,https://movie.douban.com/subject/1297359/
91,加勒比海盗,约翰尼·德普的独角戏。,8.7,https://movie.douban.com/subject/1298070/
92,摩登时代,大时代中的人生，小人物的悲喜。,9.3,https://movie.douban.com/subject/1294371/
93,致命ID,最不可能的那个人永远是最可能的。,8.7,https://movie.douban.com/subject/1297192/
94,断背山,每个人心中都有一座断背山。,8.7,https://movie.douban.com/subject/1418834/
95,阳光灿烂的日子,一场华丽的意淫。,8.8,https://movie.douban.com/subject/1291875/
96,重庆森林,寂寞没有期限。,8.7,https://movie.douban.com/subject/1291999/
97,第六感,深入内心的恐怖，出人意料的结局。,8.8,https://movie.douban.com/subject/1297630/
98,狩猎,人言可畏。,9.1,https://movie.douban.com/subject/6985810/
99,喜剧之王,我是一个演员。,8.7,https://movie.douban.com/subject/1302425/
100,玛丽和马克思,你是我最好的朋友，你是我唯一的朋友 。,8.9,https://movie.douban.com/subject/3072124/
101,消失的爱人,年度最佳date movie。,8.7,https://movie.douban.com/subject/21318488/
102,告白,没有一人完全善，也没有一人完全恶。,8.7,https://movie.douban.com/subject/4268598/
103,小森林 夏秋篇,那些静得只能听见呼吸的日子里，你明白孤独即生活。,9.0,https://movie.douban.com/subject/25814705/
104,大鱼,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,8.8,https://movie.douban.com/subject/1291545/
105,一一,我们都曾经是一一。,9.0,https://movie.douban.com/subject/1292434/
106,阳光姐妹淘,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,8.8,https://movie.douban.com/subject/4917726/
107,爱在黎明破晓前,缘分是个连绵词，最美不过一瞬。,8.8,https://movie.douban.com/subject/1296339/
108,请以你的名字呼唤我,沉醉在电影的情感和视听氛围中无法自拔。,8.8,https://movie.douban.com/subject/26799731/
109,射雕英雄传之东成西就,百看不厌。 ,8.7,https://movie.douban.com/subject/1316510/
110,甜蜜蜜,相逢只要一瞬间，等待却像是一辈子。,8.8,https://movie.douban.com/subject/1305164/
111,侧耳倾听,少女情怀总是诗。,8.9,https://movie.douban.com/subject/1297052/
112,红辣椒,梦的勾结。,8.9,https://movie.douban.com/subject/1865703/
113,驯龙高手,和谐的生活离不开摸头与被摸头。,8.7,https://movie.douban.com/subject/2353023/
114,倩女幽魂,两张绝世的脸。 ,8.7,https://movie.douban.com/subject/1297447/
115,超脱,穷尽一生，我们要学会的，不过是彼此拥抱。,8.8,https://movie.douban.com/subject/5322596/
116,杀人回忆,关于连环杀人悬案的集体回忆。,8.8,https://movie.douban.com/subject/1300299/
117,海蒂和爷爷,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,9.1,https://movie.douban.com/subject/25958717/
118,恐怖直播,恐怖分子的“秋菊打官司”。,8.7,https://movie.douban.com/subject/21360417/
119,菊次郎的夏天,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,8.8,https://movie.douban.com/subject/1293359/
120,爱在日落黄昏时,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,8.8,https://movie.douban.com/subject/1291990/
121,7号房的礼物,《我是山姆》的《美丽人生》。,8.8,https://movie.douban.com/subject/10777687/
122,小森林 冬春篇,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,9.0,https://movie.douban.com/subject/25814707/
123,风之谷,动画片的圣经。,8.8,https://movie.douban.com/subject/1291585/
124,哈利·波特与死亡圣器(下),10年的完美句点。,8.7,https://movie.douban.com/subject/3011235/
125,我不是药神,,9.0,https://movie.douban.com/subject/26752088/
126,幸福终点站,有时候幸福需要等一等。 ,8.7,https://movie.douban.com/subject/1292274/
127,蝙蝠侠：黑暗骑士崛起,诺兰就是保证。,8.7,https://movie.douban.com/subject/3395373/
128,上帝之城,被上帝抛弃了的上帝之城。,8.9,https://movie.douban.com/subject/1292208/
129,萤火之森,触不到的恋人。,8.8,https://movie.douban.com/subject/5989818/
130,借东西的小人阿莉埃蒂,曾经的那段美好会沉淀为一辈子的记忆。,8.8,https://movie.douban.com/subject/4202302/
131,超能陆战队,Balalala~~~,8.6,https://movie.douban.com/subject/11026735/
132,唐伯虎点秋香,华太师是黄霑，吴镇宇四大才子之一。,8.5,https://movie.douban.com/subject/1306249/
133,神偷奶爸,Mr. I Don't Care其实也有Care的时候。,8.5,https://movie.douban.com/subject/3287562/
134,无人知晓,我的平常生活就是他人的幸福。,9.1,https://movie.douban.com/subject/1292337/
135,怪兽电力公司,不要给它起名字，起了名字就有感情了。,8.7,https://movie.douban.com/subject/1291579/
136,电锯惊魂,真相就在眼前。,8.7,https://movie.douban.com/subject/1417598/
137,岁月神偷,岁月流逝，来日可追。,8.7,https://movie.douban.com/subject/3792799/
138,玩具总动员3,跨度十五年的欢乐与泪水。,8.8,https://movie.douban.com/subject/1858711/
139,血战钢锯岭,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,8.7,https://movie.douban.com/subject/26325320/
140,谍影重重3,像吃了苏打饼一样干脆的电影。,8.8,https://movie.douban.com/subject/1578507/
141,疯狂原始人,老少皆宜，这就是好莱坞动画的魅力。,8.7,https://movie.douban.com/subject/1907966/
142,七武士,时代悲歌。,9.2,https://movie.douban.com/subject/1295399/
143,英雄本色,英雄泪短，兄弟情长。 ,8.7,https://movie.douban.com/subject/1297574/
144,喜宴,中国家庭的喜怒哀乐忍。,8.9,https://movie.douban.com/subject/1303037/
145,真爱至上,爱，是个动词。,8.6,https://movie.douban.com/subject/1292401/
146,萤火虫之墓,幸福是生生不息，却难以触及的远。 ,8.7,https://movie.douban.com/subject/1293318/
147,东邪西毒,电影诗。,8.6,https://movie.douban.com/subject/1292328/
148,傲慢与偏见,爱是摈弃傲慢与偏见之后的曙光。,8.5,https://movie.douban.com/subject/1418200/
149,时空恋旅人,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,8.7,https://movie.douban.com/subject/10577869/
150,贫民窟的百万富翁,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,8.6,https://movie.douban.com/subject/2209573/
151,黑天鹅,黑暗之美。,8.5,https://movie.douban.com/subject/1978709/
152,记忆碎片,一个针管引发的血案。,8.6,https://movie.douban.com/subject/1304447/
153,心迷宫,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,8.7,https://movie.douban.com/subject/25917973/
154,纵横四海,香港浪漫主义警匪动作片的巅峰之作。,8.8,https://movie.douban.com/subject/1295409/
155,教父3,任何信念的力量，都无法改变命运。,8.8,https://movie.douban.com/subject/1294240/
156,荒蛮故事,始于荒诞，止于更荒诞。,8.8,https://movie.douban.com/subject/24750126/
157,完美的世界,坏人的好总是比好人的好来得更感人。,9.1,https://movie.douban.com/subject/1300992/
158,达拉斯买家俱乐部,Jared Leto的腿比女人还美！,8.7,https://movie.douban.com/subject/1793929/
159,雨人,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,8.7,https://movie.douban.com/subject/1291870/
160,三块广告牌,怼天怼地，你走后，她与世界为敌。,8.7,https://movie.douban.com/subject/26611804/
161,花样年华,偷情本没有这样美。,8.6,https://movie.douban.com/subject/1291557/
162,被解救的姜戈,热血沸腾，那个低俗、性感的无耻混蛋又来了。,8.7,https://movie.douban.com/subject/6307447/
163,卢旺达饭店,当这个世界闭上双眼，他却敞开了怀抱。,8.9,https://movie.douban.com/subject/1291822/
164,你的名字。,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,8.4,https://movie.douban.com/subject/26683290/
165,海边的曼彻斯特,我们都有权利不与自己的过去和解。,8.6,https://movie.douban.com/subject/25980443/
166,我是山姆,爱并不需要智商 。,8.9,https://movie.douban.com/subject/1306861/
167,头脑特工队,愿我们都不用长大，每一座城堡都能永远存在。,8.7,https://movie.douban.com/subject/10533913/
168,你看起来好像很好吃,感情不分食草或者食肉。,8.8,https://movie.douban.com/subject/4848115/
169,恋恋笔记本,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,8.5,https://movie.douban.com/subject/1309163/
170,哪吒闹海,想你时你在闹海。,9.0,https://movie.douban.com/subject/1307315/
171,无敌破坏王,迪士尼和皮克斯拿错剧本的产物。,8.7,https://movie.douban.com/subject/6534248/
172,虎口脱险,永远看不腻的喜剧。,8.9,https://movie.douban.com/subject/1296909/
173,冰川时代,松鼠才是角儿。,8.5,https://movie.douban.com/subject/1291578/
174,二十二,有一些东西不应该被遗忘。,8.7,https://movie.douban.com/subject/26430107/
175,海洋,大海啊，不全是水。,9.0,https://movie.douban.com/subject/3443389/
176,雨中曲,骨灰级歌舞片。,9.0,https://movie.douban.com/subject/1293460/
177,爆裂鼓手,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,8.7,https://movie.douban.com/subject/25773932/
178,未麻的部屋,好的剧本是，就算你猜到了结局也猜不到全部。,8.9,https://movie.douban.com/subject/1395091/
179,模仿游戏,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,8.6,https://movie.douban.com/subject/10463953/
180,一个叫欧维的男人决定去死,惠及一生的美丽。,8.8,https://movie.douban.com/subject/26628357/
181,忠犬八公物语,养狗三日，便会对你终其一生。,9.1,https://movie.douban.com/subject/1959195/
182,燃情岁月,传奇，不是每个人都可以拥有。,8.8,https://movie.douban.com/subject/1295865/
183,人工智能,对爱的执着，可以超越一切。,8.6,https://movie.douban.com/subject/1302827/
184,魔女宅急便,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,8.6,https://movie.douban.com/subject/1307811/
185,房间,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,8.8,https://movie.douban.com/subject/25724855/
186,穿越时空的少女,爱上未来的你。 ,8.6,https://movie.douban.com/subject/1937946/
187,天书奇谭,传奇的年代，醉人的童话。,9.1,https://movie.douban.com/subject/1428581/
188,恐怖游轮,不要企图在重复中寻找已经失去的爱。,8.4,https://movie.douban.com/subject/3011051/
189,魂断蓝桥,中国式内在的美国电影。,8.8,https://movie.douban.com/subject/1293964/
190,黑客帝国3：矩阵革命,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,8.7,https://movie.douban.com/subject/1302467/
191,海街日记,是枝裕和的家庭习作。,8.7,https://movie.douban.com/subject/25895901/
192,猜火车,不可猜的青春迷笛。 ,8.5,https://movie.douban.com/subject/1292528/
193,罗生门,人生的N种可能性。,8.8,https://movie.douban.com/subject/1291879/
194,完美陌生人,来啊，互相伤害啊！,8.5,https://movie.douban.com/subject/26614893/
195,阿飞正传,王家卫是一种风格，张国荣是一个代表。,8.5,https://movie.douban.com/subject/1305690/
196,头号玩家,写给影迷，动漫迷和游戏迷的一封情书。,8.7,https://movie.douban.com/subject/4920389/
197,香水,一个单凭体香达到高潮的男人。,8.5,https://movie.douban.com/subject/1760622/
198,功夫,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,8.4,https://movie.douban.com/subject/1291543/
199,可可西里,坚硬的信仰。,8.7,https://movie.douban.com/subject/1308857/
200,朗读者,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,8.5,https://movie.douban.com/subject/2213597/
201,谍影重重2,谁说王家卫镜头很晃？,8.6,https://movie.douban.com/subject/1308767/
202,浪潮,世界离独裁只有五天。,8.7,https://movie.douban.com/subject/2297265/
203,牯岭街少年杀人事件,弱者送给弱者的一刀。,8.8,https://movie.douban.com/subject/1292329/
204,谍影重重,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,8.6,https://movie.douban.com/subject/1304102/
205,战争之王,做一颗让别人需要你的棋子。,8.6,https://movie.douban.com/subject/1419936/
206,地球上的星星,天使保护事件始末。,8.9,https://movie.douban.com/subject/2363506/
207,疯狂的石头,中国版《两杆大烟枪》。,8.4,https://movie.douban.com/subject/1862151/
208,初恋这件小事,黑小鸭速效美白记。,8.3,https://movie.douban.com/subject/4739952/
209,青蛇,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,8.5,https://movie.douban.com/subject/1303394/
210,惊魂记,故事的反转与反转，分裂电影的始祖。,8.9,https://movie.douban.com/subject/1293181/
211,终结者2：审判日,少见的超越首部的续集，动作片中的经典。,8.6,https://movie.douban.com/subject/1291844/
212,源代码,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,8.4,https://movie.douban.com/subject/3075287/
213,爱在午夜降临前,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,8.8,https://movie.douban.com/subject/10808442/
214,步履不停,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,8.8,https://movie.douban.com/subject/2222996/
215,新龙门客栈,嬉笑怒骂，调风动月。,8.5,https://movie.douban.com/subject/1292287/
216,奇迹男孩,世界不完美，爱会有奇迹。,8.6,https://movie.douban.com/subject/26787574/
217,小萝莉的猴神大叔,宝莱坞的萝莉与大叔。,8.5,https://movie.douban.com/subject/26393561/
218,追随,诺兰的牛逼来源于内心散发出的恐惧。,8.9,https://movie.douban.com/subject/1397546/
219,一次别离,只有有信仰的人才能说出事实真相。,8.7,https://movie.douban.com/subject/5964718/
220,无耻混蛋,昆汀同学越来越变态了，比北野武还杜琪峰。,8.5,https://movie.douban.com/subject/1438652/
221,再次出发之纽约遇见你,爱我就给我看你的播放列表。,8.5,https://movie.douban.com/subject/6874403/
222,釜山行,揭露人性的丧尸题材力作。,8.4,https://movie.douban.com/subject/25986180/
223,血钻,每个美丽事物背后都是滴血的现实。,8.6,https://movie.douban.com/subject/1428175/
224,东京物语,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,9.2,https://movie.douban.com/subject/1291568/
225,撞车,天使与魔鬼的冲撞。,8.6,https://movie.douban.com/subject/1388216/
226,彗星来的那一夜,小成本大魅力。,8.5,https://movie.douban.com/subject/25807345/
227,城市之光,永远的小人物，伟大的卓别林。,9.3,https://movie.douban.com/subject/1293908/
228,2001太空漫游,现代科幻电影的开山之作，最伟大导演的最伟大影片。,8.7,https://movie.douban.com/subject/1292226/
229,梦之安魂曲,一场没有春天的噩梦。,8.7,https://movie.douban.com/subject/1292270/
230,新世界,要做就做得狠一点，这样才能活下去。,8.7,https://movie.douban.com/subject/10437779/
231,绿里奇迹,天使暂时离开。,8.7,https://movie.douban.com/subject/1300374/
232,疯狂的麦克斯4：狂暴之路,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,8.6,https://movie.douban.com/subject/3592854/
233,聚焦,新闻人的理性求真。,8.8,https://movie.douban.com/subject/25954475/
234,E.T. 外星人,生病的E.T.皮肤的颜色就像柿子饼。,8.5,https://movie.douban.com/subject/1294638/
235,这个男人来自地球,科幻真正的魅力不是视觉效果能取代的。 ,8.5,https://movie.douban.com/subject/2300586/
236,末路狂花,没有了退路，只好飞向自由。,8.7,https://movie.douban.com/subject/1291992/
237,黑鹰坠落,还原真实而残酷的战争。,8.6,https://movie.douban.com/subject/1291824/
238,发条橙,我完全康复了。,8.5,https://movie.douban.com/subject/1292233/
239,遗愿清单,用剩余不多的时间，去燃烧整个生命。,8.6,https://movie.douban.com/subject/1867345/
240,变脸,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,8.4,https://movie.douban.com/subject/1292659/
241,勇闯夺命岛,类型片的极致。 ,8.6,https://movie.douban.com/subject/1292728/
242,国王的演讲,皇上无话儿。,8.4,https://movie.douban.com/subject/4023638/
243,我爱你,你要相信，这世上真的有爱存在，不管在什么年纪 ,9.0,https://movie.douban.com/subject/5908478/
244,黄金三镖客,最棒的西部片。,9.1,https://movie.douban.com/subject/1401118/
245,千钧一发,一部能引人思考的科幻励志片。,8.7,https://movie.douban.com/subject/1300117/
246,非常嫌疑犯,我不信仰上帝，但我敬畏上帝。,8.6,https://movie.douban.com/subject/1292214/
247,秒速5厘米,青春就是放弃和怀念。,8.3,https://movie.douban.com/subject/2043546/
248,驴得水,过去的如果就让它过去了，未来只会越来越糟！,8.3,https://movie.douban.com/subject/25921812/
249,卡萨布兰卡,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,8.6,https://movie.douban.com/subject/1296753/
250,四个春天,来也匆匆去也匆匆，就这样风雨兼程。,8.9,https://movie.douban.com/subject/27191492/
